년도,구분,대구중부,대구동부,대구서부,대구남부,대구북부,대구수성,대구달서,대구성서,대구달성,대구강북,대구군위
2017,사고건수,994,1575,1294,813,1115,2012,1597,1541,855,1074,88
2017,사망건수,6,19,15,9,16,20,8,11,26,6,7
2017,부상자수,1421,2281,1853,1171,1470,2894,2357,2150,1174,1565,130
2018,사고건수,1015,1681,1247,842,1136,2022,1525,1580,841,1189,78
2018,사망건수,5,17,17,5,9,20,5,8,12,13,5
2018,부상자수,1461,2397,1789,1233,1580,3064,2240,2366,1216,1749,111
2019,사고건수,852,1885,1305,891,1255,2461,1739,1945,930,1133,113
2019,사망건수,11,16,8,4,9,9,7,10,15,8,10
2019,부상자수,1305,2823,1953,1298,1800,3708,2509,2851,1364,1685,154
2020,사고건수,696,1683,1169,873,1138,2154,1575,1634,916,975,93
2020,사망건수,8,15,10,7,6,11,5,10,20,11,4
2020,부상자수,1041,2524,1706,1319,1523,3175,2321,2367,1328,1424,138
2021,사고건수,614,1604,972,740,1030,2146,1452,1554,814,1028,96
2021,사망건수,6,14,5,3,11,9,7,8,9,6,6
2021,부상자수,894,2348,1437,997,1402,3066,2021,2081,1179,1423,138
2022,사고건수,714,1479,949,617,951,2013,1374,1190,809,881,64
2022,사망건수,3,8,6,2,7,7,6,10,9,8,3
2022,부상자수,1016,2095,1331,876,1253,2904,1906,1620,1150,1302,100
2023,사고건수,758,1552,1002,474,1005,1910,1351,984,821,839,97
2023,사망건수,5,15,7,2,7,10,5,8,8,6,9
2023,부상자수,1115,2267,1432,637,1360,2793,1824,1340,1095,1189,140
